B,M,N,K,purpose
1,1,1,32,dot_min
3,8,16,56,tiny_max_and_k_tail
4,8,16,64,outside_tiny_batch
1,9,17,72,outside_tiny_m_n_k
64,1,65,8192,gemv_max_small_core_output
64,65,1,8192,gemv_sum_small_core_output
1,1,8192,72,gemv_wide_k_tail
1,8192,1,72,gemv_tall_k_tail
1,16,32,40,unaligned_k_small_cube
1,17,31,72,unaligned_m_n_k
1,63,255,256,small_cube_boundary
1,64,256,512,manual_boundary
1,65,257,520,outside_small_cube
1,127,513,512,odd_row_boundary
1,128,512,512,aligned_dual
1,129,513,512,empty_aiv_half
64,129,129,128,finalizer_writer_core_limit
1,112,192,8192,split_k_live_ub_overflow_regression
1,111,191,8192,split_k_live_ub_odd_regression
1,96,192,8192,split_k_live_ub_inside
1,64,96,8192,split_k_four
8,64,96,8192,split_k_two_20cores
12,64,96,8192,split_k_ragged_wave
20,64,96,8192,full_k_full_wave_20cores
64,64,96,8192,split_k_output_core_limit
1,64,127,4104,split_k_non32_k_tail
1,128,256,4096,split_k_ub_fallback
1,129,256,4096,outside_split_k_m
1,2048,127,248,manual_pad_boundary
1,8192,127,72,manual_pad_k_tail
1,64,8192,128,wide_n_profile
1,1024,4096,1024,wide_n_ratio_profile
4,2048,2048,2048,large_cube
64,128,128,8192,input_element_limit_long_k
64,8192,8192,128,input_element_limit_wide
