B,M,N,K,coverage
1,1,1,32,dot_min;probe_hypothesis_1
3,8,16,56,tiny_max_and_k_tail
4,8,16,64,outside_tiny_batch
1,9,17,72,outside_tiny_m_n_k
64,1,65,8192,gemv_max_small_core_output
64,65,1,8192,gemv_sum_small_core_output
1,1,8192,72,gemv_wide_k_tail
1,8192,1,72,gemv_tall_k_tail
1,16,32,40,unaligned_k_small_cube
1,17,31,72,unaligned_m_n_k
1,63,255,256,small_cube_boundary
1,64,256,512,manual_boundary
1,65,257,520,outside_small_cube
1,127,513,512,odd_row_boundary
1,128,512,512,aligned_dual
1,129,513,512,empty_aiv_half
64,129,129,128,finalizer_writer_core_limit
1,112,192,8192,split_k_live_ub_overflow_regression
1,111,191,8192,split_k_live_ub_odd_regression
1,96,192,8192,split_k_live_ub_inside
1,64,96,8192,splitK_control;split_k_four
8,64,96,8192,split_k_two_20cores
12,64,96,8192,split_k_ragged_wave
20,64,96,8192,full_k_full_wave_20cores
64,64,96,8192,split_k_output_core_limit
1,64,127,4104,split_k_non32_k_tail
1,128,256,4096,split_k_ub_fallback
1,129,256,4096,outside_split_k_m
1,2048,127,248,manual_pad_boundary
1,8192,127,72,manual_pad_k_tail
1,64,8192,128,probe_hypothesis_14;wide_n_profile
1,1024,4096,1024,N4K_boundary;probe_hypothesis_12;profile_control;wide_n_ratio_profile
4,2048,2048,2048,large_cube
64,128,128,8192,input_element_limit_long_k
64,8192,8192,128,input_element_limit_wide
1,1536,1536,1536,anchor
1,3072,1536,1536,anchor
1,1024,1024,1024,lower_corner;probe_hypothesis_8
1,2048,2048,1536,upper_N
1,4096,1536,1536,more_rows
1,6144,1536,1536,more_rows
1,8192,2048,1536,max_M
2,1536,1536,1536,batch
4,1536,1536,1536,batch
1,1535,1536,1536,excluded_M_tail
1,1537,1536,1536,excluded_M_tail
1,1536,1535,1536,excluded_N_tail
1,1536,1537,1536,excluded_N_tail
1,1536,1536,1016,excluded_K_lower
1,1536,1536,1024,K_lower
1,1536,1536,1032,K_non16
1,1536,1536,2040,K_upper_non16
1,1536,1536,2048,excluded_K_upper
1,1536,2176,1536,excluded_N_upper
1,896,1536,1536,excluded_M_lower
1,8192,127,248,manual_tail_control;probe_hypothesis_13
1,2,6,48,tiny_control
1,1,1,40,probe_hypothesis_1
1,1,1,56,probe_hypothesis_1
1,2,4,32,probe_hypothesis_2
1,2,5,40,probe_hypothesis_2
1,3,7,56,probe_hypothesis_2
2,4,8,32,probe_hypothesis_3
2,5,11,40,probe_hypothesis_3
3,7,15,56,probe_hypothesis_3
4,8,16,128,probe_hypothesis_4
5,11,23,184,probe_hypothesis_4
7,15,31,248,probe_hypothesis_4
8,16,32,128,probe_hypothesis_5
11,23,47,184,probe_hypothesis_5
15,31,63,248,probe_hypothesis_5
8,16,64,128,probe_hypothesis_6
11,23,95,184,probe_hypothesis_6
15,31,127,248,probe_hypothesis_6
16,32,128,256,probe_hypothesis_7
23,47,191,376,probe_hypothesis_7
31,63,255,504,probe_hypothesis_7
1,1535,1535,1528,probe_hypothesis_8
1,2047,2047,2040,probe_hypothesis_8
1,2048,1024,1024,probe_hypothesis_9
1,3071,1535,1528,probe_hypothesis_9
1,4095,2047,2040,probe_hypothesis_9
1,4096,1024,1024,probe_hypothesis_10
1,6143,1535,1528,probe_hypothesis_10
1,8191,2047,2040,probe_hypothesis_10
1,1024,2048,2048,probe_hypothesis_11
1,1535,3071,3064,probe_hypothesis_11
1,2047,4095,4088,probe_hypothesis_11
1,1535,6143,1528,probe_hypothesis_12
1,2047,8191,2040,probe_hypothesis_12
1,8192,64,128,probe_hypothesis_13
1,8192,95,184,probe_hypothesis_13
1,66,8192,184,probe_hypothesis_14
1,68,8192,248,probe_hypothesis_14
1,65,8192,128,probe_hypothesis_14
1,64,64,8192,probe_hypothesis_15
1,66,95,8192,probe_hypothesis_15
1,68,127,8192,probe_hypothesis_15
1,65,64,8192,probe_hypothesis_15
1,1,8,64,R2_small
1,8,1,64,R2_small
1,16,1,48,R2_small
1,1,32,64,R2_small
1,1,16,128,R2_small
1,1,64,32,R2_small
1,1,63,56,R2_small
1,1,65,32,R2_small
15,1,64,32,R2_small
1,96,8192,1024,R3_M_tile
1,80,512,1024,R3_M_tile
1,68,8192,256,R3_M_tile
1,127,2048,512,R3_M_tile
1,1536,3072,2048,R3_M_tile
1,3072,4096,2048,R3_M_tile
1,32,24,8192,R4_splitK
1,32,17,8192,R4_splitK
1,32,32,8192,R4_splitK
10,32,32,2048,R4_splitK
16,32,32,2048,R4_splitK
1,8,16,64,R7_micro
1,16,32,64,R7_micro
1,16,16,48,R7_micro
1,8,32,32,R7_micro
1,32,8,32,R7_micro
1,32,8,64,R7_micro
1,16,8,128,R7_micro
1,64,8,64,R7_micro
1,8192,16,1024,R9_thin
1,4096,8,8192,R9_thin
1,2048,32,512,R10_core_cap
1,4096,32,512,R10_core_cap
1,2048,256,512,R10_core_cap
4,512,256,512,R10_core_cap
1,192,1024,2048,R11_override
1,320,512,2048,R11_override
2,257,513,2048,R11_override
3,257,1025,2048,R11_override
1,2048,384,512,R12_MDL
1,2048,384,1024,R12_MDL
1,32,32,4096,R14_16row
1,8,4096,512,R15_wide
1,16,4096,512,R15_wide
1,32,4096,512,R15_wide
1,64,192,128,R16_seeds
1,96,256,256,R16_seeds
1,72,64,8192,R16_seeds
1,80,64,8192,R16_seeds
1,1024,4095,1024,N4K_boundary
1,1024,4097,1024,N4K_boundary
64,128,128,512,early_and_dot_low_core
64,1,1,512,early_and_dot_low_core
