B,M,N,K,purpose
1,1536,1536,1536,anchor
1,3072,1536,1536,anchor
1,1024,1024,1024,lower_corner
1,2048,2048,1536,upper_N
1,4096,1536,1536,more_rows
1,6144,1536,1536,more_rows
1,8192,2048,1536,max_M
2,1536,1536,1536,batch
4,1536,1536,1536,batch
1,1535,1536,1536,excluded_M_tail
1,1537,1536,1536,excluded_M_tail
1,1536,1535,1536,excluded_N_tail
1,1536,1537,1536,excluded_N_tail
1,1536,1536,1016,excluded_K_lower
1,1536,1536,1024,K_lower
1,1536,1536,1032,K_non16
1,1536,1536,2040,K_upper_non16
1,1536,1536,2048,excluded_K_upper
1,1536,2176,1536,excluded_N_upper
1,896,1536,1536,excluded_M_lower
1,1024,4096,1024,profile_control
1,64,96,8192,splitK_control
1,8192,127,248,manual_tail_control
1,2,6,48,tiny_control
