case,B_lo,B_hi,M_lo,M_hi,N_lo,N_hi,K_lo,K_hi,decoded_dtype,tx1,tx2,historical_sec15_us,attribution_status
1,1,1,1,1,1,1,32,56,fp16,0,0,3.42,conditional
2,1,1,2,3,4,7,32,56,bf16,1,0,6.88,conditional
3,2,3,4,7,8,15,32,56,fp16,0,1,8.83,conditional
4,4,7,8,15,16,31,128,248,bf16,1,1,11.53,conditional
5,8,15,16,31,32,63,128,248,fp16,0,0,9.2,conditional
6,8,15,16,31,64,127,128,248,bf16,0,1,15.87,conditional
7,16,31,32,63,128,255,256,504,fp16,1,0,11.72,conditional
8,1,1,1024,2047,1024,2047,1024,2040,bf16,1,1,68.85,conditional
9,1,1,2048,4095,1024,2047,1024,2040,fp16,0,1,92.6,conditional
10,1,1,4096,8191,1024,2047,1024,2040,bf16,0,0,109.56,CONFLICT
11,1,1,1024,2047,2048,4095,2048,4088,fp16,1,1,87.14,conditional
12,1,1,1024,2047,4096,8191,1024,2040,bf16,1,0,131.19,conditional
13,1,1,8192,8192,64,127,128,248,fp16,0,0,26.11,conditional
14,1,1,64,68,8192,8192,128,248,bf16,0,1,19.01,conditional
15,1,1,64,68,64,127,8192,8192,fp16,1,1,25.05,conditional
